Year,Month,Date,Target,Category,Value,Item,Context,Method,Shop,Location
2023,3,2023-03-03,Future,Clothing,10088,Expense item 134,Gift,Credit Card,Seven,Tokyo
2023,3,2023-03-03,Present,Enjoyment & Social Life,2278,Expense item 135,Travel,AMEX - 5508,Netflix,Kita-Senju
2023,3,2023-03-04,Present,Hobbies & Leisure,552,Expense item 136,Personal,Credit Card,Vending Machine,Shibuya
2023,3,2023-03-05,Present,Transport,5411,Expense item 137,Travel,MASTER - 9031,Lawson,Tachikawa
2023,3,2023-03-07,Living,Utilities & Services,1606,Expense item 138,Daily,MASTER - 9031,Lawson,Kita-Senju
2023,3,2023-03-08,Present,Subscriptions,582,Expense item 139,Work,Suika,UQ,Kita-Senju
2023,3,2023-03-09,Living,Basic Personal Care,887,Expense item 140,Gift,AMEX - 5508,Nikunohanamasa,Shinjuku
2023,3,2023-03-09,Future,Transport,3930,Expense item 141,Work,Cash,Nikunohanamasa,Shibuya
2023,3,2023-03-10,Living,Basic Personal Care,371,Expense item 142,Travel,Credit Card,Nikunohanamasa,Shinjuku
2023,3,2023-03-10,Present,Hobbies & Leisure,2375,Expense item 143,Travel,AMEX - 5508,Nikunohanamasa,Shinjuku
2023,3,2023-03-10,Living,Basic Personal Care,1667,Expense item 144,Gift,MASTER - 9031,Lawson,Online
2023,3,2023-03-11,Living,Utilities & Services,3153,Expense item 145,Travel,Cash,Spotify,Shinjuku
2023,3,2023-03-12,Present,Subscriptions,1013,Expense item 146,Daily,Suika,FamilyMart,Kita-Senju
2023,3,2023-03-12,Future,Transport,8204,Expense item 147,Daily,Cash,Spotify,Shibuya
2023,3,2023-03-13,Present,Enjoyment & Social Life,58,Expense item 148,Work,Suika,UQ,Tachikawa
2023,3,2023-03-13,Present,Enjoyment & Social Life,3377,Expense item 149,Personal,Suika,Nikunohanamasa,Shibuya
2023,3,2023-03-14,Living,Utilities & Services,2258,Expense item 150,Gift,Cash,Lawson,Tachikawa
2023,3,2023-03-14,Present,Hobbies & Leisure,1896,Expense item 151,Daily,Cash,UQ,Online
2023,3,2023-03-15,Living,Basic Personal Care,2171,Expense item 152,Work,MASTER - 9031,Nikunohanamasa,Tokyo
2023,3,2023-03-15,Present,Hobbies & Leisure,3494,Expense item 153,Personal,Credit Card,Netflix,Tokyo
2023,3,2023-03-15,Present,Enjoyment & Social Life,2583,Expense item 154,Daily,Suika,Lawson,Shibuya
2023,3,2023-03-15,Present,Enjoyment & Social Life,4020,Expense item 155,Daily,Cash,Seven,Tokyo
2023,3,2023-03-15,Living,Utilities & Services,1235,Expense item 156,Travel,AMEX - 5508,Mall,Kita-Senju
2023,3,2023-03-15,Present,Enjoyment & Social Life,1070,Expense item 157,Personal,MASTER - 9031,Vending Machine,Tokyo
2023,3,2023-03-16,Present,Hobbies & Leisure,3425,Expense item 158,Personal,AMEX - 5508,Amazon,Kita-Senju
2023,3,2023-03-17,Living,Utilities & Services,2054,Expense item 159,Personal,MASTER - 9031,Nikunohanamasa,Shibuya
2023,3,2023-03-18,Living,Food,8161,Expense item 160,Personal,Cash,FamilyMart,Shinjuku
2023,3,2023-03-18,Living,Basic Personal Care,160,Expense item 161,Personal,MASTER - 9031,UQ,Kita-Senju
2023,3,2023-03-19,Present,Hobbies & Leisure,3218,Expense item 162,Gift,Suika,UQ,Shinjuku
2023,3,2023-03-19,Present,Subscriptions,2590,Expense item 163,Daily,MASTER - 9031,Amazon,Online
2023,3,2023-03-20,Living,Utilities & Services,3866,Expense item 164,Personal,Credit Card,Mall,Kita-Senju
2023,3,2023-03-20,Present,Enjoyment & Social Life,130,Expense item 165,Gift,Credit Card,Amazon,Shibuya
2023,3,2023-03-20,Present,Hobbies & Leisure,2465,Expense item 166,Gift,Credit Card,Mall,Shinjuku
2023,3,2023-03-21,Living,Food,6980,Expense item 167,Daily,AMEX - 5508,Nikunohanamasa,Online
2023,3,2023-03-21,Present,Clothing,6101,Expense item 168,Gift,Suika,Lawson,Kita-Senju
2023,3,2023-03-21,Present,Enjoyment & Social Life,3783,Expense item 169,Personal,Cash,Lawson,Kita-Senju
2023,3,2023-03-22,Future,Clothing,7504,Expense item 170,Work,Suika,Mall,Tokyo
2023,3,2023-03-23,Living,Basic Personal Care,1523,Expense item 171,Gift,Suika,Seven,Online
2023,3,2023-03-23,Future,Transport,12939,Expense item 172,Personal,MASTER - 9031,FamilyMart,Tokyo
2023,3,2023-03-24,Living,Basic Personal Care,1459,Expense item 173,Travel,Cash,Seven,Tachikawa
2023,3,2023-03-24,Present,Subscriptions,1871,Expense item 174,Work,Cash,UQ,Online
2023,3,2023-03-25,Living,Utilities & Services,2820,Expense item 175,Gift,MASTER - 9031,FamilyMart,Tokyo
2023,3,2023-03-26,Future,Transport,10450,Expense item 176,Personal,Credit Card,Lawson,Online
2023,3,2023-03-26,Future,Clothing,5513,Expense item 177,Travel,Suika,Netflix,Tokyo
2023,3,2023-03-27,Present,Enjoyment & Social Life,1894,Expense item 178,Work,MASTER - 9031,Nikunohanamasa,Shinjuku
2023,3,2023-03-28,Living,Food,8143,Expense item 179,Daily,Suika,Nikunohanamasa,Kita-Senju
2023,3,2023-03-30,Living,Utilities & Services,1273,Expense item 180,Personal,Suika,Nikunohanamasa,Kita-Senju
2023,3,2023-03-30,Present,Subscriptions,760,Expense item 181,Travel,Credit Card,Vending Machine,Kita-Senju
2023,3,2023-03-31,Present,Subscriptions,1100,Expense item 182,Travel,AMEX - 5508,Seven,Online
2023,3,2023-03-31,Future,Transport,14995,Expense item 183,Personal,MASTER - 9031,Spotify,Shibuya
2023,3,2023-03-31,Living,Utilities & Services,3966,Expense item 184,Travel,Suika,UQ,Kita-Senju
2023,3,2023-03-31,Present,Enjoyment & Social Life,3052,Expense item 185,Personal,AMEX - 5508,Amazon,Kita-Senju
2023,3,2023-03-31,Living,Food,6649,Expense item 186,Work,Suika,Seven,Shibuya
2023,3,2023-03-31,Present,Enjoyment & Social Life,949,Expense item 187,Gift,Suika,Lawson,Kita-Senju
2023,4,2023-04-01,Future,Clothing,12693,Expense item 188,Gift,AMEX - 5508,Netflix,Tokyo
2023,4,2023-04-01,Present,Subscriptions,1291,Expense item 189,Daily,Credit Card,Seven,Shinjuku
2023,4,2023-04-01,Living,Food,3341,Expense item 190,Work,Cash,FamilyMart,Kita-Senju
2023,4,2023-04-02,Present,Clothing,10833,Expense item 191,Travel,AMEX - 5508,Spotify,Kita-Senju
2023,4,2023-04-02,Present,Hobbies & Leisure,3888,Expense item 192,Daily,Credit Card,Netflix,Kita-Senju
2023,4,2023-04-02,Living,Utilities & Services,2287,Expense item 193,Gift,MASTER - 9031,Spotify,Tachikawa
2023,4,2023-04-03,Living,Utilities & Services,1352,Expense item 194,Travel,Cash,Amazon,Online
2023,4,2023-04-03,Future,Clothing,8585,Expense item 195,Gift,Credit Card,Vending Machine,Shinjuku
2023,4,2023-04-04,Future,Transport,13486,Expense item 196,Personal,AMEX - 5508,Nikunohanamasa,Shibuya
2023,4,2023-04-04,Living,Utilities & Services,1127,Expense item 197,Gift,Suika,FamilyMart,Tokyo
2023,4,2023-04-04,Present,Transport,1296,Expense item 198,Gift,MASTER - 9031,Vending Machine,Shibuya
2023,4,2023-04-05,Living,Food,7317,Expense item 199,Daily,Suika,UQ,Tachikawa
2023,4,2023-04-05,Present,Subscriptions,438,Expense item 200,Daily,AMEX - 5508,Seven,Tokyo
2023,4,2023-04-06,Present,Hobbies & Leisure,4899,Expense item 201,Work,Credit Card,Amazon,Tokyo
2023,4,2023-04-07,Living,Clothing,7419,Expense item 202,Gift,MASTER - 9031,FamilyMart,Shinjuku
2023,4,2023-04-07,Living,Basic Personal Care,1761,Expense item 203,Work,Cash,FamilyMart,Online
2023,4,2023-04-07,Living,Utilities & Services,2146,Expense item 204,Personal,Cash,Netflix,Online
2023,4,2023-04-07,Present,Enjoyment & Social Life,5296,Expense item 205,Work,Credit Card,Seven,Kita-Senju
2023,4,2023-04-08,Living,Clothing,6621,Expense item 206,Daily,MASTER - 9031,Nikunohanamasa,Online
2023,4,2023-04-08,Future,Clothing,4928,Expense item 207,Personal,Credit Card,FamilyMart,Online
2023,4,2023-04-08,Living,Basic Personal Care,1278,Expense item 208,Travel,Suika,FamilyMart,Shinjuku
2023,4,2023-04-09,Living,Food,5842,Expense item 209,Personal,Suika,Vending Machine,Online
2023,4,2023-04-09,Living,Transport,9245,Expense item 210,Gift,Suika,Lawson,Shibuya
2023,4,2023-04-10,Living,Utilities & Services,1694,Expense item 211,Personal,Suika,Vending Machine,Online
2023,4,2023-04-11,Present,Subscriptions,1378,Expense item 212,Travel,Suika,Seven,Online
2023,4,2023-04-13,Living,Basic Personal Care,2523,Expense item 213,Gift,AMEX - 5508,Amazon,Online
2023,4,2023-04-14,Present,Hobbies & Leisure,4909,Expense item 214,Work,MASTER - 9031,Seven,Kita-Senju
2023,4,2023-04-15,Living,Utilities & Services,2965,Expense item 215,Travel,Suika,Lawson,Tokyo
2023,4,2023-04-15,Living,Basic Personal Care,865,Expense item 216,Gift,Credit Card,Nikunohanamasa,Online
2023,4,2023-04-16,Living,Food,2040,Expense item 217,Personal,Cash,Mall,Shibuya
2023,4,2023-04-16,Future,Clothing,7187,Expense item 218,Work,Suika,Mall,Shibuya
2023,4,2023-04-16,Living,Basic Personal Care,1227,Expense item 219,Personal,Credit Card,Lawson,Online
2023,4,2023-04-16,Living,Basic Personal Care,235,Expense item 220,Personal,Credit Card,UQ,Shinjuku
2023,4,2023-04-17,Living,Basic Personal Care,145,Expense item 221,Personal,Cash,Nikunohanamasa,Online
2023,4,2023-04-17,Living,Utilities & Services,3019,Expense item 222,Daily,Cash,Mall,Tachikawa
2023,4,2023-04-17,Living,Utilities & Services,2667,Expense item 223,Daily,Credit Card,Netflix,Shinjuku
2023,4,2023-04-18,Living,Basic Personal Care,53,Expense item 224,Gift,MASTER - 9031,Lawson,Kita-Senju
2023,4,2023-04-19,Living,Utilities & Services,1887,Expense item 225,Work,AMEX - 5508,Amazon,Kita-Senju
2023,4,2023-04-19,Living,Basic Personal Care,562,Expense item 226,Gift,Suika,FamilyMart,Online
2023,4,2023-04-20,Living,Basic Personal Care,1380,Expense item 227,Daily,AMEX - 5508,UQ,Tachikawa
2023,4,2023-04-20,Living,Food,5151,Expense item 228,Gift,Credit Card,FamilyMart,Tokyo
2023,4,2023-04-20,Present,Enjoyment & Social Life,934,Expense item 229,Work,AMEX - 5508,UQ,Kita-Senju
2023,4,2023-04-20,Living,Basic Personal Care,789,Expense item 230,Travel,Credit Card,Amazon,Shinjuku
2023,4,2023-04-20,Living,Transport,14130,Expense item 231,Personal,MASTER - 9031,FamilyMart,Tokyo
2023,4,2023-04-21,Present,Hobbies & Leisure,6102,Expense item 232,Gift,Credit Card,Vending Machine,Online
2023,4,2023-04-22,Living,Utilities & Services,2449,Expense item 233,Work,Suika,Netflix,Online
2023,4,2023-04-22,Living,Food,8721,Expense item 234,Personal,AMEX - 5508,Seven,Shibuya
2023,4,2023-04-22,Living,Basic Personal Care,380,Expense item 235,Work,Cash,Amazon,Shinjuku
2023,4,2023-04-23,Future,Clothing,9881,Expense item 236,Work,MASTER - 9031,UQ,Kita-Senju
2023,4,2023-04-25,Present,Transport,5981,Expense item 237,Travel,Suika,Netflix,Tachikawa
2023,4,2023-04-25,Living,Food,10656,Expense item 238,Work,AMEX - 5508,Mall,Tokyo
2023,4,2023-04-26,Present,Subscriptions,755,Expense item 239,Travel,Credit Card,Mall,Tachikawa
2023,4,2023-04-27,Present,Subscriptions,1938,Expense item 240,Travel,Suika,Vending Machine,Shibuya
2023,4,2023-04-27,Living,Utilities & Services,2247,Expense item 241,Personal,Cash,Spotify,Tachikawa
2023,4,2023-04-28,Present,Subscriptions,856,Expense item 242,Gift,Suika,Netflix,Tokyo
2023,4,2023-04-28,Present,Enjoyment & Social Life,6770,Expense item 243,Travel,Credit Card,Mall,Kita-Senju
2023,4,2023-04-28,Living,Utilities & Services,905,Expense item 244,Travel,Suika,Vending Machine,Kita-Senju
2023,4,2023-04-29,Present,Enjoyment & Social Life,7141,Expense item 245,Travel,MASTER - 9031,Mall,Tachikawa
2023,4,2023-04-29,Present,Subscriptions,1261,Expense item 246,Work,Suika,Spotify,Tachikawa
2023,4,2023-04-30,Living,Basic Personal Care,676,Expense item 247,Personal,AMEX - 5508,FamilyMart,Kita-Senju
2023,4,2023-04-30,Future,Transport,7840,Expense item 248,Personal,Cash,Amazon,Tokyo
2023,4,2023-04-30,Present,Enjoyment & Social Life,5771,Expense item 249,Gift,AMEX - 5508,Vending Machine,Shinjuku
2023,5,2023-05-01,Living,Clothing,8913,Expense item 250,Personal,Suika,Nikunohanamasa,Shibuya
2023,5,2023-05-01,Present,Enjoyment & Social Life,3576,Expense item 251,Daily,Cash,Seven,Shibuya
2023,5,2023-05-01,Present,Transport,12578,Expense item 252,Personal,MASTER - 9031,Amazon,Tokyo
2023,5,2023-05-01,Living,Food,2076,Expense item 253,Travel,MASTER - 9031,Vending Machine,Tachikawa
2023,5,2023-05-02,Living,Food,584,Expense item 254,Personal,Suika,Lawson,Kita-Senju
2023,5,2023-05-02,Living,Food,1931,Expense item 255,Daily,Cash,Mall,Tachikawa
2023,5,2023-05-02,Living,Food,6023,Expense item 256,Travel,MASTER - 9031,Spotify,Kita-Senju
